QRG TX,QRG RX,Call,QTH,Locator,Alt.,Remarks,Status,lat,lon
438.2500,430.6500,HB9ID,St. Iddaburg,JN47LJ,966m,C4FM* NFM T71.9,1,"47.3881814","8.9792522"
438.2500,430.6500,HB9IAP,La Barillette,JN36BK,1514m,DMR-B #228110 CC1,1,"46.4304853","6.123073"
438.2500,430.6500,HB9IPA,Steinhof,JN37UD,554m,C4FM #17765,1,"47.161244","7.68624"
438.2625,430.6625,HB9OH,Brienzwiler,JN46BS,1329m,C4FM #17779 NFM T77.0,1,"46.7501194","8.1021125"
438.2625,430.6625,HB9DR,Chur,JN46SU,589m,DMR-I #228703 CC1 SWISS,1,"46.855515","9.5254066"
438.2625,430.6625,HB9ZF,Uetliberg,JN47FI,824m,DMR-B #228811 CC2,1,"47.3496439","8.4911346"
438.2625,430.6625,HB9DM,Liestal,JN37UL,603m,NXDN-Relais,1,"47.4839723","7.7347783"
438.2625,430.6625,HB9JEZ,St. Gallen,JN47QK,657m,DMR-B #228902 CC1 (inoff),2,"47.4250593","9.3765878"
438.2750,430.6750,HB9CR,Grindel,JN37SJ,593m,C4FM #18712,1,"47.3817049","7.5026184"
438.2875,430.6875,HB9GF,Leidenberg,JN47AD,685m,DMR* NFM T71.9 <>Menzberg,1,"47.1549231","8.0762229"
438.2875,430.6875,HB9GF,Menzberg LU,JN37XA,1027m,DMR/NFM <>Leidenberg,1,"47.0402758","7.9977498"
438.2875,430.6875,HB9EE,Etzgen,JN47BN,384m,C4FM #31504,1,"47.5720309","8.1108566"
438.3000,430.7000,HB9AR,Genève,JN36BE,421m,D-STAR CCS#41812,1,"46.2017559","6.1466014"
438.3000,430.7000,HB9GR,Chur,JN46SU,580m,C4FM #17586 NFM T141.3,1,"46.855515","9.5254066"
438.3125,430.7125,HB9DC,Etzel,JN47JE,1092m,DMR-B #228808 C5,1,"47.1776748","8.7679387"
438.3125,430.7125,HB9CSR,Laufen,JN37SK,384m,DMR-B #228410 CC1,1,"47.4224096","7.5020019"
438.3125,430.7125,HB9VD,Middes,JN36LS,673m,D-STAR* HB9VD__A,1,"46.7680947","6.9491864"
438.3250,430.7250,HB9BG,Falkenfluh,JN36UT,1035m,DMR* #228307,1,46.8125000,7.7083333
438.3250,430.7250,HB9F,Ringgenberg,JN36WQ,590m,MM D-STAR/APCO/DMR/NFM,1,"46.7044135","7.8960911"
438.3250,430.7250,HB9DM,Läufelfingen,JN37WJ,845m,DMR-B #228414 CC2,1,"47.3958161","7.8546951"
438.3375,430.7375,HB9DC,Etzel,JN47JE,1092m,MM DMR P25$293 NFM T77.0,1,"47.1776748","8.7679387"
438.3375,430.7375,HB9VD,Le Chasseron,JN36GU,1570m,DMR-B #228125 CC1,1,"46.8518295","6.5379796"
438.3500,430.7500,HB9EAS,Nenzlingen,JN37SK,652m,DMR-B #228406 CC1,1,"47.4477386","7.5621906"
438.3625,430.7625,HB9SG,Hoher Kasten,JN47RG,1773m,DMR-B #229904 CC1,1,"47.2834897","9.4851111"
438.3625,430.7625,HB9AK,Kloten,JN47GK,438m,DMR-B #228819 CC8 local,1,"47.4481167","8.5830945"
438.3625,430.7625,HB9KK,Münsingen,JN36SU,596m,C4FM #17381 (inoff),2,"46.8739775","7.5631943"
438.3750,431.1375,HB9DR,Rheineck,JN47TL,450m,C4FM,1,"47.4706336","9.584108"
438.3750,430.7750,HB9UCQ,Le Pâquier-M.,JN36MO,734m,D-STAR/DMR-B #228131/C4FM,1,"46.5950644","7.0527454"
438.3750,430.7750,HB9NFB,Gempen,JN37TL,755m,DMR*,1,"47.4744704","7.660411082807633"
438.3875,430.7875,HB9ZG,Rigi-Scheidegg,JN47GA,1654m,C4FM #18754 NFM T71.9,1,"47.0274441","8.5195668"
438.3875,430.7875,HB9DM,Langenbruck,JN37VI,704m,DMR-B #228409 CC1,1,"47.3498274","7.7681007"
438.3875,430.7875,HB9DM,Läufelfingen,JN37WJ,845m,DMR-B #228412 CC2 dummy,2,"47.3958161","7.8546951"
438.4000,430.8000,HB9LU,Luzern,JN47CA,939m,C4FM #17119 NFM T71.9,1,47.0208333,8.2083333
438.4000,430.8000,HB9AK,Schleitheim SH,JN47FR,559m,EL#326020 NFM T88.5,1,"47.7488818","8.4845902"
438.4125,430.8125,HB9W,Brütten,JN47IL,610m,C4FM #34126 NFM T88.5,1,"47.4731491","8.6753241"
438.4125,430.8125,HB9EAS,Rheinfelden,JN37VN,278m,DMR-B #228411 CC1,1,"47.5543859","7.7922905"
438.4250,430.8250,HB9DA,Schmiedrued/AG,JN47BG,701m,C4FM #17097 NFM T71.9,1,"47.270044","8.103455"
438.4250,430.8250,HB9AS,La Berneuse,JN36MI,2030m,DMR-B #228128 CC1,1,"46.3597739","7.0017835"
438.4375,430.8375,HB9DD,Castel S. Pietro,JN45MV,967m,DMR-B #228605 CC1,2,45.8958333,9.0416667
438.4375,430.8375,HB9DM,Liestal,JN37UL,602m,DMR-B #228404 CC1,1,"47.4839723","7.7347783"
438.4375,430.8375,HB9DD,Val Scura,JN46LI,1031m,DMR-B #228604 CC1,1,"46.3353943","8.990886"
438.4375,430.8375,HB9FB,Scheidegg,JN47LH,1187m,C4FM* NFM T71.9,1,"47.3034079","8.9438787"
438.4375,430.8375,HB9DD,Costa Piana,JN46HH,1872m,DMR-B #228619 CC2,1,46.3125000,8.6250000
438.4500,430.8500,HB0FL,Gaflei,JN47SD,1483m,C4FM #17827,1,"47.1422814","9.5447613"
438.4500,430.8500,HB9FG,Coffrane,JN37KA,950m,DMR-B #228201 CC1,1,"47.00904045","6.867723972220008"
438.4500,430.8500,HB9FX,Zofingen,JN37XH,644m,DMR-B #228403 CC2,1,47.3125000,7.9583333
438.4500,430.8500,HB9OK,Poschiavo,JN56AH,1087m,DMR-I #228707 CC1 SWISS,1,"46.3264671","10.0581552"
438.4625,430.8625,HB9DD,Monte Tamaro,JN46KC,1870m,DMR-B #228602 CC1,1,"46.1038934","8.8660317"
438.4625,430.8625,HB9F,Schilthorn,JN36WN,2963m,DMR GWFN,1,"46.5573271","7.8352093"
